"Best parameters:
,""{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""

Score:,0.7537037037037037
0.74630 (+/-0.14064) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 40, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.15458) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 40, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15432) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 41, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 41, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.17029) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 42, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.17364) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 42, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14971) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 43, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.16033) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 43, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15432) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 44, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.14258) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 44, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.16859) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 45, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.14468) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 45, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14064) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 46, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15617) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 46, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74815 (+/-0.15244) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 47, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.16654) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 47, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.13649) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 48, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.16338) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 48, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74630 (+/-0.13947) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 49, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15432) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 49, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

